Country,Tax Rate per Year,Year Period,Tax Generated (USD),Sector,Tax Utilization (USD)
USA,0.2,2001 - 2005,272933525.86800003,Infrastructure,545867051.74
USA,0.2,2001 - 2005,272933525.86800003,Healthcare,409400288.8
USA,0.2,2001 - 2005,272933525.86800003,Education,272933525.87
USA,0.2,2001 - 2005,272933525.86800003,Other,136466762.93
USA,0.25,2006 - 2010,341166907.33500004,Infrastructure,545867051.74
USA,0.25,2006 - 2010,341166907.33500004,Healthcare,409400288.8
USA,0.25,2006 - 2010,341166907.33500004,Education,272933525.87
USA,0.25,2006 - 2010,341166907.33500004,Other,136466762.93
USA,0.15,2011 - 2015,204700144.40100002,Infrastructure,545867051.74
USA,0.15,2011 - 2015,204700144.40100002,Healthcare,409400288.8
USA,0.15,2011 - 2015,204700144.40100002,Education,272933525.87
USA,0.15,2011 - 2015,204700144.40100002,Other,136466762.93
USA,0.3,2016 - 2020,409400288.80200005,Infrastructure,545867051.74
USA,0.3,2016 - 2020,409400288.80200005,Healthcare,409400288.8
USA,0.3,2016 - 2020,409400288.80200005,Education,272933525.87
USA,0.3,2016 - 2020,409400288.80200005,Other,136466762.93
USA,0.22,2021 - 2022,300226878.4548,Infrastructure,545867051.74
USA,0.22,2021 - 2022,300226878.4548,Healthcare,409400288.8
USA,0.22,2021 - 2022,300226878.4548,Education,272933525.87
USA,0.22,2021 - 2022,300226878.4548,Other,136466762.93
China,0.2,2001 - 2005,522090059.31200004,Infrastructure,1305225148.28
China,0.2,2001 - 2005,522090059.31200004,Healthcare,522090059.31
China,0.2,2001 - 2005,522090059.31200004,Education,522090059.31
China,0.2,2001 - 2005,522090059.31200004,Other,261045029.66
China,0.25,2006 - 2010,652612574.14,Infrastructure,1305225148.28
China,0.25,2006 - 2010,652612574.14,Healthcare,522090059.31
China,0.25,2006 - 2010,652612574.14,Education,522090059.31
China,0.25,2006 - 2010,652612574.14,Other,261045029.66
China,0.15,2011 - 2015,391567544.484,Infrastructure,1305225148.28
China,0.15,2011 - 2015,391567544.484,Healthcare,522090059.31
China,0.15,2011 - 2015,391567544.484,Education,522090059.31
China,0.15,2011 - 2015,391567544.484,Other,261045029.66
China,0.3,2016 - 2020,783135088.968,Infrastructure,1305225148.28
China,0.3,2016 - 2020,783135088.968,Healthcare,522090059.31
China,0.3,2016 - 2020,783135088.968,Education,522090059.31
China,0.3,2016 - 2020,783135088.968,Other,261045029.66
China,0.22,2021 - 2022,574299065.2432001,Infrastructure,1305225148.28
China,0.22,2021 - 2022,574299065.2432001,Healthcare,522090059.31
China,0.22,2021 - 2022,574299065.2432001,Education,522090059.31
China,0.22,2021 - 2022,574299065.2432001,Other,261045029.66
India,0.2,2001 - 2005,336911151.666,Infrastructure,505366727.5
India,0.2,2001 - 2005,336911151.666,Healthcare,673822303.33
India,0.2,2001 - 2005,336911151.666,Education,168455575.83
India,0.2,2001 - 2005,336911151.666,Other,336911151.67
India,0.25,2006 - 2010,421138939.5825,Infrastructure,505366727.5
India,0.25,2006 - 2010,421138939.5825,Healthcare,673822303.33
India,0.25,2006 - 2010,421138939.5825,Education,168455575.83
India,0.25,2006 - 2010,421138939.5825,Other,336911151.67
India,0.15,2011 - 2015,252683363.74949998,Infrastructure,505366727.5
India,0.15,2011 - 2015,252683363.74949998,Healthcare,673822303.33
India,0.15,2011 - 2015,252683363.74949998,Education,168455575.83
India,0.15,2011 - 2015,252683363.74949998,Other,336911151.67
